BEACON,DAS,CRITERIA,ROPEN,RBALNO,LST_R_OPEN,RBAL,RLIMIT,TOPEN,TBALNO,MOF,RBAL_LIMIT,EQLIMIT,EQBAL,EQHIGHBAL,EQCURBAL,BCLIMIT,BCBAL,IHIGHBAL,ICURBAL,UNSECLIMIT,UNSECBAL,MTHIGHBAL,MTCURBAL,BCOPEN,YEARS_RES,CHILDREN,EST_INC,OWN_HOME,HOME_VALUE,HOME_INC,HOME_ED,PRCNT_WHIT,PRCNT_PROF,DOB_MONTH,DOB_YEAR,AGE_INFERR,SEX,MARRIED,BUYER
719,201,1,07,04,06,014378,030300,07,036779,335,03,,,,,023100,010697,038321,022401,,,120000,113000,,05,0,87499.50,0,145,073,150,95,45,,43,57,M,M,1 
725,179,1,05,04,07,013785,027571,06,037812,223,01,,,,,010500,001735,026694,024027,015571,012050,085000,083681,,10,0,87499.50,0,136,064,160,97,46,,54,42,M,M,1 
745,184,1,00,00,,,,03,005603,223,00,,,,,,,011693,005456,,,075000,073972,,08,0,62499.50,0,148,067,160,96,52,,55,42,M,U,1 
716,302,1,05,04,03,007475,017864,06,007525,112,02,,,,,013900,006638,,,000640,000645,124000,122000,,01,0,62499.50,0,137,049,150,92,44,,59,35,M,M,1 
774,25,1,05,02,08,001156,010043,03,001206,176,00,,,,,005600,000528,,,,,,,,05,1,62499.50,0,194,083,160,96,48,,57,42,M,U,1 
712,220,1,06,06,09,013787,018017,06,013787,191,04,,,,,011180,010936,,,,,,,,02,0,62499.50,0,194,083,160,96,48,,,57,F,U,1 
770,278,1,02,01,04,000450,014000,04,040542,003,00,,,,,006000,000000,045651,040092,008000,000450,,,,08,0,87499.50,0,129,053,140,93,49,,46,42,M,U,1 
722,285,1,02,02,07,000416,010340,02,000416,066,00,,,,,010340,000416,,,,,,,,00,0,87499.50,0,133,059,160,95,48,,,42,M,U,1 
727,240,1,01,01,92,005985,006600,02,007097,034,01,,,,,,,010177,001112,006600,005985,,,,03,0,87499.50,0,225,060,160,97,59,,43,57,M,M,1 
724,308,1,01,01,27,001698,002259,04,006729,074,01,,,,,002259,001698,,,,,095650,093526,,02,0,62499.50,0,109,047,150,91,51,,64,35,M,M,1 
736,187,1,04,04,04,005948,009869,06,005976,190,02,,,,,006500,005013,,,,,142000,136000,,04,1,87499.50,0,133,059,160,95,48,,,42,M,M,1 
724,182,1,01,01,99,003795,005000,02,003941,000,01,,,,,,,,,005000,003795,,,,11,1,87499.50,0,194,083,160,96,48,,52,42,M,M,1 
722,314,1,07,02,03,001124,023634,07,020780,119,00,,,,,018535,001124,038160,019600,,,154000,150000,,03,0,87499.50,0,137,049,150,92,44,,51,42,M,M,1 
786,9,1,01,01,34,000195,008000,01,000195,127,00,,,,,008000,000195,,,,,,,,02,0,62499.50,0,115,051,140,97,45,,,42,M,M,1 
743,31,1,09,06,16,004505,019886,09,004520,173,01,,,,,,,,,000720,000682,066750,060564,,03,0,42999.50,0,109,047,150,91,51,,37,57,F,U,1 
754,154,1,05,04,07,001203,014720,12,003130,163,00,,,,,007500,000938,,,005000,000005,073000,071817,,05,0,87499.50,0,154,076,160,95,59,,,42,M,U,1 
724,63,1,06,04,19,011380,033615,06,015960,210,01,,,,,016300,001981,005638,004580,014065,009399,090550,089787,,03,0,87499.50,0,170,073,150,96,42,,45,42,M,M,1 
738,286,1,06,03,19,001107,041436,10,040453,246,00,,,040000,036141,019920,000000,013000,011730,019000,001039,155000,148000,,02,0,87499.50,0,137,049,150,92,44,,35,57,M,M,1 
771,102,1,02,01,08,003246,007000,02,003246,130,01,,,,,005500,003246,,,,,088350,086487,,08,1,87499.50,0,113,056,160,86,38,,52,42,F,U,1 
724,271,1,04,03,02,022412,025059,03,022412,273,03,,,,,025059,022412,,,,,,,,14,1,62499.50,0,113,056,160,86,38,,,42,M,U,1 
711,155,1,04,04,19,010387,012600,05,013046,628,04,,,,,005800,004935,005024,002659,006800,005452,,,,01,0,62499.50,0,129,053,140,93,49,,,42,F,U,1 
713,320,1,04,04,07,009693,031671,08,039434,272,01,,,,,023671,009318,041715,029741,008000,000375,082800,077089,,10,1,87499.50,0,088,036,140,85,36,,47,42,M,M,1 
772,26,1,06,04,42,001889,015816,08,031538,244,00,,,,,015549,001889,007050,003085,,,075000,072637,,14,1,87499.50,0,109,047,150,91,51,,45,42,M,M,1 
788,89,1,01,01,65,000002,009000,02,000002,192,00,,,,,009000,000002,,,,,062800,042636,,07,1,87499.50,0,109,047,150,91,51,,56,42,M,U,1 
729,164,1,02,02,23,004230,008000,05,013319,128,01,,,,,007500,003675,014979,009002,,,088000,083482,,03,1,62499.50,0,142,065,160,97,40,,59,35,M,U,1 
759,303,1,01,01,60,000473,010400,03,020964,107,00,,,,,010400,000473,021644,020441,,,,,,03,0,42999.50,0,098,037,140,73,35,,55,42,M,U,1 
785,77,1,01,00,76,000000,006400,00,000000,089,00,,,,,,,,,006400,000000,,,,06,0,62499.50,0,079,040,150,87,45,,,42,M,U,1 
763,62,1,02,02,26,002106,017500,03,002106,066,00,,,,,007500,000275,,,010000,001831,093600,092085,,00,0,42999.50,0,100,049,140,91,49,,,42,M,U,1 
718,194,1,06,04,02,006532,026120,04,006532,114,01,,,,,022000,005004,,,004000,001528,,,,00,0,87499.50,0,119,033,160,87,48,,,42,M,U,1 
785,167,1,03,02,05,000131,011867,03,000131,247,00,,,,,011867,000131,,,,,070000,068334,,15,0,42999.50,0,066,029,120,80,15,,48,42,F,U,1 
771,153,1,01,01,99,000172,008000,01,000172,112,00,,,,,008000,000172,,,,,,,,02,0,42999.50,0,072,032,150,71,44,,61,35,F,U,1 
762,-34,1,09,05,13,001166,028308,05,001166,228,01,,,,,013514,000674,022800,000000,000360,000195,,,,01,0,62499.50,0,071,031,120,97,29,,,42,M,U,1 
714,206,1,03,03,04,002321,010313,03,002321,188,00,,,,,010313,002321,,,,,,,,09,0,42999.50,0,072,032,150,71,44,,,42,M,M,1 
713,321,1,04,02,06,003623,020000,02,003623,067,01,,,,,015000,003623,,,005000,000000,,,,03,0,87499.50,0,063,030,120,83,20,,46,42,M,M,1 
783,67,1,06,04,05,002645,025871,05,002645,228,01,,,,,020848,002223,,,004400,000000,025050,016701,,15,0,87499.50,0,063,030,120,83,20,,39,57,M,U,1 
