@relation 'CARS1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,10,9-weka.filters.unsupervised.attribute.MergeTwoValues-C9-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C7-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C7-F27-S29-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-L15,26-H'

@attribute Cyl numeric
@attribute CuPerIn numeric
@attribute Hpwr numeric
@attribute Wt_Lbs numeric
@attribute Acc_0-60 numeric
@attribute Year numeric
@attribute Brand {chevrolet_chevy,buick,plymouth,amc,ford,pontiac,dodge,toyota,datsun,vw,peugeot,audi,saab,bmw,mercury,opel,fiat,oldsmobile,chrysler,mazda,volvo,renault,honda,subaru,m-benz_mercedes,cadillac,triumph,nissan}
@attribute Model {'chevrolet_chevelle malibu','buick_skylark 320',plymouth_satellite,'amc_rebel sst',ford_torino,'ford_galaxie 500',chevrolet_impala,'plymouth_fury iii',pontiac_catalina,'amc_ambassador dpl','dodge_challenger se',plymouth_,'chevrolet_monte carlo','buick_estate wagon (sw)','toyota_corona mark ii',plymouth_duster,amc_hornet,ford_maverick,datsun_pl510,'vw_1131 deluxe sedan',peugeot_504,'audi_100 ls',saab_99e,bmw_2002,amc_gremlin,ford_f250,chevrolet_c20,dodge_d200,hi_1200d,'chevrolet_vega 2300',toyota_corona,'plymouth_satellite custom','ford_torino 500',amc_matador,'pontiac_catalina brougham','dodge_monaco (sw)','ford_country squire (sw)','pontiac_safari (sw)','amc_hornet sportabout (sw)','chevrolet_vega (sw)',pontiac_firebird,ford_mustang,'mercury_capri 2000',opel_1900,peugeot_304,fiat_124b,'toyota_corolla 1200',datsun_1200,'vw_model 111',plymouth_cricket,'toyota_corona hardtop','dodge_colt hardtop','vw_type 3',chevrolet_vega,'ford_pinto runabout','amc_ambassador sst',mercury_marquis,'buick_lesabre custom','oldsmobile_delta 88 royale','chrysler_newport royal','mazda_rx2 coupe','amc_matador (sw)','chevrolet_chevelle concours (sw)','ford_gran torino (sw)','plymouth_satellite custom (sw)','volvo_145e (sw)','vw_411 (sw)','peugeot_504 (sw)','renault_12 (sw)','ford_pinto (sw)','datsun_510 (sw)','toyota_corona mark ii (sw)','dodge_colt (sw)','toyota_corolla 1600 (sw)','buick_century 350',chevrolet_malibu,'ford_gran torino','dodge_coronet custom','mercury_marquis brougham','chevrolet_caprice classic',ford_ltd,'plymouth_fury gran sedan','chrysler_new yorker brougham','buick_electra 225 custom','amc_ambassador brougham',plymouth_valiant,'chevrolet_nova custom','vw_super beetle',ford_country,'plymouth_custom suburb','oldsmobile_vista cruiser',toyota_carina,datsun_610,mazda_rx3,ford_pinto,'mercury_capri v6','fiat_124 sport coupe','chevrolet_monte carlo s','pontiac_grand prix',fiat_128,opel_manta,audi_100ls,volvo_144ea,'dodge_dart custom',saab_99le,'toyota_mark ii',oldsmobile_omega,chevrolet_nova,datsun_b210,'chevrolet_chevelle malibu classic','plymouth_satellite sebring','buick_century luxus (sw)','dodge_coronet custom (sw)',audi_fox,vw_dasher,datsun_710,dodge_colt,'fiat_124 tc',honda_civic,subaru_n/a,fiat_x1.9,'plymouth_valiant custom',mercury_monarch,'chevrolet_bel air','plymouth_grand fury',buick_century,plymouth_fury,buick_skyhawk,'chevrolet_monza 2+2','ford_mustang ii',toyota_corolla,pontiac_astro,vw_rabbit,amc_pacer,volvo_244dl,'honda_civic cvcc',fiat_131,capri_ii,renault_12tl,'dodge_coronet brougham',chevrolet_chevette,chevrolet_woody,'dodge_aspen se','ford_granada ghia','pontiac_ventura sj','amc_pacer d/l',datsun_b-210,volvo_245,'plymouth_volare premier v8',mercedes_280s,cadillac_seville,chevrolet_c10,ford_f108,dodge_d100,'honda_accord cvcc','buick_opel isuzu deluxe','renault_5 gtl','plymouth_arrow gs','datsun_f-10 hatchback','oldsmobile_cutlass supreme','dodge_monaco brougham','mercury_cougar brougham',chevrolet_concours,buick_skylark,'plymouth_volare custom',ford_granada,'pontiac_grand prix lj','chevrolet_monte carlo landau',chrysler_cordoba,ford_thunderbird,'vw_rabbit custom','pontiac_sunbird coupe','toyota_corolla liftback','ford_mustang ii 2+2','dodge_colt m/m',subaru_dl,datsun_810,bmw_320i,mazda_rx-4,'vw_rabbit custom diesel',ford_fiesta,'mazda_glc deluxe','datsun_b210 gx','oldsmobile_cutlass salon brougham',dodge_diplomat,'mercury_monarch ghia','pontiac_phoenix lj','ford_fairmont (auto)','ford_fairmont (man)',plymouth_volare,amc_concord,'buick_century special',mercury_zephyr,dodge_aspen,'amc_concord d/l','buick_regal sport coupe (turbo)',ford_futura,'dodge_magnum xe',datsun_510,dodge_omni,'toyota_celica gt liftback',plymouth_sapporo,'oldsmobile_starfire sx',datsun_200-sx,audi_5000,volvo_264gl,saab_99gle,peugeot_604sl,vw_scirocco,'honda_accord lx','pontiac_lemans v6','mercury_zephyr 6','ford_fairmont 4','amc_concord dl 6','dodge_aspen 6','ford_ltd landau','mercury_grand marquis','dodge_st. regis','chevrolet_malibu classic (sw)','chrysler_lebaron town & country (sw)','dodge_colt hatchback custom','amc_spirit dl','mercedes_benz 300d',cadillac_eldorado,plymouth_horizon,'plymouth_horizon tc3',datsun_210,'fiat_strada custom','buick_skylark limited',chevrolet_citation,'oldsmobile_omega brougham',pontiac_phoenix,'toyota_corolla tercel',datsun_310,ford_fairmont,audi_4000,'toyota_corona liftback',mazda_626,'datsun_510 hatchback',mazda_glc,'vw_rabbit c (diesel)','vw_dasher (diesel)','audi_5000s (diesel)',mercedes_240d,'honda_civic 1500 gl',datsun_280-zx,'mazda_rx-7 gs','triumph_tr7 coupe',honda_accord,plymouth_reliant,'dodge_aries wagon (sw)',toyota_starlet,plymouth_champ,'honda_civic 1300','datsun_210 mpg',toyota_tercel,'mazda_glc 4','plymouth_horizon 4','ford_escort 4w','ford_escort 2h',vw_jetta,honda_prelude,datsun_200sx,'peugeot_505s turbo diesel',volvo_diesel,toyota_cressida,'datsun_810 maxima','oldsmobile_cutlass ls','ford_granada gl','chrysler_lebaron salon',chevrolet_cavalier,'chevrolet_cavalier wagon','chevrolet_cavalier 2-door','pontiac_j2000 se hatchback','dodge_aries se','ford_fairmont futura','vw_rabbit l','mazda_glc custom l','mazda_glc custom','plymouth_horizon miser','mercury_lynx l','nissan_stanza xe','honda_civic (auto)','datsun_310 gx','buick_century limited','oldsmobile_cutlass ciera (diesel)','chrysler_lebaron medallion','ford_granada l','toyota_celica gt','dodge_charger 2.2',chevrolet_camaro,'ford_mustang gl',vw_pickup,dodge_rampage,ford_ranger,chevrolet_s-10}
@attribute Origin {US_USA,Japan,Europe}
@attribute MiPerGal numeric

@data
8,307,130,3504,12,1971,chevrolet_chevy,'chevrolet_chevelle malibu',US_USA,18
?,307,130,3504,12,1971,chevrolet_chevy,'chevrolet_chevelle malibu',US_USA,18
8,?,130,3504,12,1971,chevrolet_chevy,'chevrolet_chevelle malibu',US_USA,18
8,307,?,3504,12,1971,chevrolet_chevy,'chevrolet_chevelle malibu',US_USA,18
8,307,130,?,12,1971,chevrolet_chevy,'chevrolet_chevelle malibu',US_USA,18
8,307,130,3504,?,1971,chevrolet_chevy,'chevrolet_chevelle malibu',US_USA,18
8,307,130,3504,12,?,chevrolet_chevy,'chevrolet_chevelle malibu',US_USA,18
8,350,165,3693,12,1971,buick,'buick_skylark 320',US_USA,15
?,350,165,3693,12,1971,buick,'buick_skylark 320',US_USA,15
8,?,165,3693,12,1971,buick,'buick_skylark 320',US_USA,15
8,350,?,3693,12,1971,buick,'buick_skylark 320',US_USA,15
8,350,165,?,12,1971,buick,'buick_skylark 320',US_USA,15
8,350,165,3693,?,1971,buick,'buick_skylark 320',US_USA,15
8,350,165,3693,12,?,buick,'buick_skylark 320',US_USA,15
8,318,150,3436,11,1971,plymouth,plymouth_satellite,US_USA,18
8,304,150,3433,12,1971,amc,'amc_rebel sst',US_USA,16
8,302,140,3449,11,1971,ford,ford_torino,US_USA,17
8,429,198,4341,10,1971,ford,'ford_galaxie 500',US_USA,15
8,454,220,4354,9,1971,chevrolet_chevy,chevrolet_impala,US_USA,14
8,440,215,4312,9,1971,plymouth,'plymouth_fury iii',US_USA,14
8,455,225,4425,10,1971,pontiac,pontiac_catalina,US_USA,14
8,390,190,3850,9,1971,amc,'amc_ambassador dpl',US_USA,15
8,383,170,3563,10,1971,dodge,'dodge_challenger se',US_USA,15
8,400,150,3761,10,1971,chevrolet_chevy,'chevrolet_monte carlo',US_USA,15
8,455,225,3086,10,1971,buick,'buick_estate wagon (sw)',US_USA,14
4,113,95,2372,15,1971,toyota,'toyota_corona mark ii',Japan,24
6,198,95,2833,16,1971,plymouth,plymouth_duster,US_USA,22
6,199,97,2774,16,1971,amc,amc_hornet,US_USA,18
6,200,85,2587,16,1971,ford,ford_maverick,US_USA,21
4,97,88,2130,15,1971,datsun,datsun_pl510,Japan,27
4,97,46,1835,21,1971,vw,'vw_1131 deluxe sedan',Europe,26
4,110,87,2672,18,1971,peugeot,peugeot_504,Europe,25
4,107,90,2430,15,1971,audi,'audi_100 ls',Europe,24
4,104,95,2375,18,1971,saab,saab_99e,Europe,25
4,121,113,2234,13,1971,bmw,bmw_2002,Europe,26
6,199,90,2648,15,1971,amc,amc_gremlin,US_USA,21
8,360,215,4615,14,1971,ford,ford_f250,US_USA,10
8,307,200,4376,15,1971,chevrolet_chevy,chevrolet_c20,US_USA,10
8,318,210,4382,14,1971,dodge,dodge_d200,US_USA,11
4,97,88,2130,15,1972,datsun,datsun_pl510,Japan,27
4,140,90,2264,16,1972,chevrolet_chevy,'chevrolet_vega 2300',US_USA,28
4,113,95,2228,14,1972,toyota,toyota_corona,Japan,25
6,232,100,2634,13,1972,amc,amc_gremlin,US_USA,19
6,225,105,3439,16,1972,plymouth,'plymouth_satellite custom',US_USA,16
6,250,100,3329,16,1972,chevrolet_chevy,'chevrolet_chevelle malibu',US_USA,17
6,250,88,3302,16,1972,ford,'ford_torino 500',US_USA,19
6,232,100,3288,16,1972,amc,amc_matador,US_USA,18
8,350,165,4209,12,1972,chevrolet_chevy,chevrolet_impala,US_USA,14
8,400,175,4464,12,1972,pontiac,'pontiac_catalina brougham',US_USA,14
8,351,153,4154,14,1972,ford,'ford_galaxie 500',US_USA,14
8,318,150,4096,13,1972,plymouth,'plymouth_fury iii',US_USA,14
8,383,180,4955,12,1972,dodge,'dodge_monaco (sw)',US_USA,12
8,400,170,4746,12,1972,ford,'ford_country squire (sw)',US_USA,13
8,400,175,5140,12,1972,pontiac,'pontiac_safari (sw)',US_USA,13
6,258,110,2962,14,1972,amc,'amc_hornet sportabout (sw)',US_USA,18
4,140,72,2408,19,1972,chevrolet_chevy,'chevrolet_vega (sw)',US_USA,22
6,250,100,3282,15,1972,pontiac,pontiac_firebird,US_USA,19
6,250,88,3139,15,1972,ford,ford_mustang,US_USA,18
4,122,86,2220,14,1972,mercury,'mercury_capri 2000',US_USA,23
4,116,90,2123,14,1972,opel,opel_1900,Europe,28
4,79,70,2074,20,1972,peugeot,peugeot_304,Europe,30
4,88,76,2065,15,1972,fiat,fiat_124b,Europe,30
4,71,65,1773,19,1972,toyota,'toyota_corolla 1200',Japan,31
4,72,69,1613,18,1972,datsun,datsun_1200,Japan,35
4,97,60,1834,19,1972,vw,'vw_model 111',Europe,27
4,91,70,1955,21,1972,plymouth,plymouth_cricket,US_USA,26
4,113,95,2278,16,1973,toyota,'toyota_corona hardtop',Japan,24
4,98,80,2126,17,1973,dodge,'dodge_colt hardtop',US_USA,25
4,97,54,2254,24,1973,vw,'vw_type 3',Europe,23
4,140,90,2408,20,1973,chevrolet_chevy,chevrolet_vega,US_USA,20
4,122,86,2226,17,1973,ford,'ford_pinto runabout',US_USA,21
8,350,165,4274,12,1973,chevrolet_chevy,chevrolet_impala,US_USA,13
8,400,175,4385,12,1973,pontiac,pontiac_catalina,US_USA,14
8,318,150,4135,14,1973,plymouth,'plymouth_fury iii',US_USA,15
8,351,153,4129,13,1973,ford,'ford_galaxie 500',US_USA,14
8,304,150,3672,12,1973,amc,'amc_ambassador sst',US_USA,17
8,429,208,4633,11,1973,mercury,mercury_marquis,US_USA,11
8,350,155,4502,14,1973,buick,'buick_lesabre custom',US_USA,13
8,350,160,4456,14,1973,oldsmobile,'oldsmobile_delta 88 royale',US_USA,12
8,400,190,4422,13,1973,chrysler,'chrysler_newport royal',US_USA,13
8,304,150,3892,13,1973,amc,'amc_matador (sw)',US_USA,15
8,307,130,4098,14,1973,chevrolet_chevy,'chevrolet_chevelle concours (sw)',US_USA,13
8,302,140,4294,16,1973,ford,'ford_gran torino (sw)',US_USA,13
8,318,150,4077,14,1973,plymouth,'plymouth_satellite custom (sw)',US_USA,14
4,121,112,2933,15,1973,volvo,'volvo_145e (sw)',Europe,18
4,121,76,2511,18,1973,vw,'vw_411 (sw)',Europe,22
4,120,87,2979,20,1973,peugeot,'peugeot_504 (sw)',Europe,21
4,96,69,2189,18,1973,renault,'renault_12 (sw)',Europe,26
4,122,86,2395,16,1973,ford,'ford_pinto (sw)',US_USA,22
4,97,92,2288,17,1973,datsun,'datsun_510 (sw)',Japan,28
4,120,97,2506,15,1973,toyota,'toyota_corona mark ii (sw)',Japan,23
4,98,80,2164,15,1973,dodge,'dodge_colt (sw)',US_USA,28
