periodID,Revenue,NewVisits,PagesPerSession,AvgSessionDuration
1,130.58,20,2,235.57
2,188.79,18,4,355.98
3,181.99,20,2,315.85
4,97.95,20,3,155.92
5,157.56,17,2,319.3
6,136.46,15,4,219.04
7,163.93,21,1,310.18
8,142.33,15,2,250.08
9,128.87,22,2,227.83
10,208.18,18,3,416.37
11,160.64,22,5,255.85
12,198.69,17,4,377.24
13,160.51,15,3,317.16
14,177.88,18,1,337.99
15,142.68,22,3,220.43
16,157.87,22,4,253.6
17,195.9,20,3,354.93
18,137.91,21,1,196.03
19,180.08,15,1,316.85
20,167.04,17,4,332.64
21,132.21,22,4,204.8
22,191.14,17,3,362.53
23,186.81,16,6,359.11
24,145.64,22,5,272.52
25,148.29,16,5,262.76
