VisitorID,Previously_Visited,SessionLength,PageViews,Will_Visit_Again
1,No,Long,Medium,No
2,Yes,Short,High,No
3,No,Long,Low,No
4,Yes,Long,High,No
5,No,Short,High,Yes
6,Yes,Short,Medium,Yes
7,No,Long,High,Yes
8,No,Long,High,No
9,Yes,Short,High,Yes
10,No,Average,Medium,No
11,Yes,Average,Low,No
12,Yes,Long,Low,Yes
13,No,Average,Low,No
14,Yes,Average,High,No
15,No,Long,Low,Yes
16,Yes,Short,Medium,No
17,No,Average,Low,Yes
18,Yes,Long,High,Yes
19,No,Short,High,No
20,Yes,Short,High,No
21,No,Short,High,No
22,Yes,Long,Low,No
23,Yes,Short,Medium,No
24,No,Long,High,Yes
25,Yes,Long,Medium,Yes
